game,reviewer_rating,positivity_ratio,first_release_date,binned_developer,genre,themes,modes
Tetropunk,6.0,3.33,2017,Single Appearance,Puzzle,Action,
Attempt[42],5.0,1.2,2016,2-4 Appearances,Indie,Action,
Lost in Paradise,5.0,1.08,2015,Single Appearance,Puzzle,Action,
The Prism,5.0,2.23,2015,Single Appearance,Strategy,Open world,
All Over,7.0,8.33,2020,Single Appearance,Puzzle,Action,
Akin,8.0,6.45,2016,2-4 Appearances,Indie,Action,
Hive,8.0,5.88,2013,2-4 Appearances,Shooter,Horror,
Hive,8.0,5.88,1986,2-4 Appearances,Arcade,Action,
Hive,8.0,5.88,2013,2-4 Appearances,Shooter,Horror,
Hive,8.0,5.88,1986,2-4 Appearances,Arcade,Action,
CrossCells,8.0,5.65,2017,Matthew Brown,Puzzle,Educational,
Rail Route,8.0,15.04,2021,Single Appearance,Puzzle,Sandbox,
Alice's Patchwork,8.0,4.93,2016,Creobit,Puzzle,Fantasy,
A Little to the Left,8.0,7.47,2022,Single Appearance,Puzzle,Comedy,
Hexologic,9.0,22.7,2018,2-4 Appearances,Puzzle,Educational,
Lost in Play,9.0,59.06,2022,Single Appearance,Point-and-click,Fantasy,
Machinika Museum,8.0,10.73,2021,Single Appearance,Point-and-click,Science fiction,
The Deletion,6.0,3.11,2015,Russpuppy,Indie,Action,
The Eyes of Ara,8.0,5.11,2016,Single Appearance,Point-and-click,Mystery,
Trigon: Space Story,5.0,2.15,2021,Single Appearance,Role-playing (RPG),Science fiction,
Main Assembly,8.0,6.92,2020,Single Appearance,Simulator,Action,
A=B,9.0,26.05,2021,Single Appearance,Puzzle,Educational,
Tiny Room Stories: Town Mystery,8.0,8.93,2019,Single Appearance,Point-and-click,Science fiction,
Patrick's Parabox,9.0,135.5,2022,Single Appearance,Puzzle,Educational,
Kitrinos: Inside the Cube,6.0,3.18,2018,2-4 Appearances,Point-and-click,Fantasy,
Malice,4.0,0.28,2004,2-4 Appearances,Platform,Action,
Malice,4.0,0.28,2022,2-4 Appearances,Puzzle,Action,
Psycho Reign,5.0,2.05,2022,Single Appearance,Indie,Action,
Filament,8.0,7.92,2020,Single Appearance,Puzzle,Mystery,
First Day,5.0,1.42,2019,2-4 Appearances,Role-playing (RPG),Action,
A Game of Changes,5.0,1.62,2016,2-4 Appearances,Indie,Educational,
Last Call BBS,9.0,22.42,2022,Zachtronics,Puzzle,Science fiction,
BounceShot,7.0,6.33,2022,Single Appearance,Shooter,Action,
The soldier in the mine,5.0,1.2,2017,Laush Dmitriy Sergeevich,Platform,Action,
Red Crow Mysteries: Legion,4.0,0.46,2015,Cateia Games,Point-and-click,Fantasy,
Clean Slate,7.0,8.0,2021,Single Appearance,Puzzle,Science fiction,
Atlas Rogues,5.0,0.93,2020,Single Appearance,Strategy,Science fiction,
Chill the Piro,5.0,2.09,2016,Single Appearance,Indie,Action,
MegaFactory Titan,8.0,5.5,2022,2-4 Appearances,Simulator,Science fiction,
Sokobond,8.0,13.89,2014,Single Appearance,Puzzle,Educational,
The Gardens Between,8.0,15.55,2018,Single Appearance,Puzzle,Fantasy,
Taiji,8.0,15.78,2022,Single Appearance,Puzzle,Open world,
City Bus Manager,8.0,7.02,2022,Single Appearance,Simulator,Business,
Railbound,9.0,27.77,2022,2-4 Appearances,Puzzle,Educational,
Electrician Simulator,8.0,4.47,2022,Single Appearance,Puzzle,Educational,
ChessCraft,7.0,11.67,2019,Single Appearance,Strategy,Sandbox,
Palallel,7.0,13.67,2022,Single Appearance,Platform,Action,
Magicolors,7.0,9.25,2019,2-4 Appearances,Puzzle,Educational,
Relicta,5.0,2.09,2020,Single Appearance,Puzzle,Action,
GravNewton,6.0,3.55,2017,JOZGamer,Indie,Action,
Marble World,8.0,8.49,2021,Single Appearance,Racing,Sandbox,
Vandals,8.0,5.3,2018,Single Appearance,Puzzle,Action,
Castles,5.0,1.81,1991,Quicksilver Software,Simulator,Historical,
Castles,5.0,1.81,2015,Quicksilver Software,Puzzle,Action,
Castles,5.0,1.81,1991,2-4 Appearances,Simulator,Historical,
Castles,5.0,1.81,2015,2-4 Appearances,Puzzle,Action,
Castles,5.0,1.17,1991,Quicksilver Software,Simulator,Historical,
Castles,5.0,1.17,2015,Quicksilver Software,Puzzle,Action,
Castles,5.0,1.17,1991,2-4 Appearances,Simulator,Historical,
Castles,5.0,1.17,2015,2-4 Appearances,Puzzle,Action,
Chess Brain: Dark Troops,8.0,17.0,2021,Single Appearance,Puzzle,Educational,
Chuck's Challenge 3D 2020,8.0,6.73,2020,2-4 Appearances,Puzzle,Action,
ChromaGun,8.0,5.38,2016,2-4 Appearances,Shooter,Action,
Evergarden,8.0,6.2,2018,Single Appearance,Puzzle,Fantasy,
Cave Quest,8.0,15.8,2020,Single Appearance,Point-and-click,Action,
Escape First 3,5.0,1.69,2020,2-4 Appearances,Puzzle,Mystery,
Carestia,7.0,7.5,2021,Single Appearance,Platform,Action,
Between Time: Escape Room,8.0,7.44,2021,mc2games,Puzzle,Science fiction,
Vectronom,8.0,30.75,2019,Single Appearance,Music,Action,
Ripple,5.0,1.83,2020,Single Appearance,Adventure,Horror,
Cube Raiders,5.0,1.6,2020,Single Appearance,Platform,Action,
3D Hardcore Cube,5.0,1.27,2017,Laush Dmitriy Sergeevich,Indie,Action,
Star Seeker in: the Secret of the Sorcerous Standoff,7.0,43.0,2020,Single Appearance,Point-and-click,Fantasy,
Xecryst Remains,6.0,3.45,2019,Single Appearance,Role-playing (RPG),Action,
Kyklos Code,7.0,18.0,2017,Single Appearance,Indie,Action,
Time Lock VR 2,8.0,8.3,2022,Whale Rock Games,Shooter,Action,
Doors,5.0,1.69,2020,Single Appearance,Point-and-click,Fantasy,
SMIB: Mission Cure,7.0,6.33,2020,2-4 Appearances,Puzzle,Action,
Mars Power Industries Deluxe,8.0,18.0,2019,Single Appearance,Puzzle,Science fiction,
Oneiros,8.0,5.34,2020,Single Appearance,Puzzle,Action,
NecroWorm,5.0,0.89,2017,Single Appearance,Puzzle,Action,
Neon Hardcore,5.0,1.78,2017,Laush Dmitriy Sergeevich,Platform,Action,
Ragnarok Chess,5.0,1.31,2021,2-4 Appearances,Puzzle,Action,
I'm on Observation Duty 4,9.0,51.64,2021,Notovia,Puzzle,Horror,
Malmyr,7.0,4.0,2020,Single Appearance,Puzzle,Fantasy,
Temple Of Snek,8.0,17.0,2021,2-4 Appearances,Puzzle,Action,
I'm on Observation Duty 5,9.0,28.94,2022,Notovia,Puzzle,Horror,
Woute,7.0,3.0,2021,Laush Dmitriy Sergeevich,Platform,Kids,
Robobo TM,7.0,10.0,2021,Single Appearance,Shooter,Action,
Comet 64,6.0,3.14,2021,Single Appearance,Puzzle,Educational,
The Quivering,5.0,1.38,1999,2-4 Appearances,Point-and-click,Science fiction,
Internet Court,6.0,2.44,2021,Oh a Rock! Studios,Simulator,Comedy,
Bitcoin Collector: Spinners Attack,5.0,0.74,2017,2-4 Appearances,Indie,Action,
Revhead,8.0,5.43,2017,Single Appearance,Racing,Action,
Be a Pirate,5.0,1.33,2020,Single Appearance,Platform,Action,
Family Mysteries 3: Criminal Mindset,6.0,3.55,2020,Brave Giant LTD,Point-and-click,Science fiction,
Click Space Miner,5.0,0.69,2016,Single Appearance,Simulator,Action,
En Route: Space,6.0,2.43,2022,2-4 Appearances,Puzzle,Science fiction,
Trivia Vault: 1980's Trivia 2,5.0,0.81,2017,Ripknot Systems,Simulator,Action,
Code Romantic,7.0,17.0,0,Single Appearance,Music,Educational,
Mechanica,6.0,3.17,2020,Single Appearance,Indie,Survival,
Who Knocks,6.0,2.77,2022,Single Appearance,Strategy,Action,
Probe,7.0,6.0,2020,Single Appearance,Shooter,Action,
Recruit One,7.0,8.33,2020,2-4 Appearances,Puzzle,Science fiction,
Deleveled,8.0,3.94,2020,Single Appearance,Platform,Action,
Hello Neighbor: Hide and Seek,8.0,5.83,2018,2-4 Appearances,Puzzle,Action,
Cubixx HD,7.0,7.75,2011,2-4 Appearances,Puzzle,Action,
The Devil's Calculator,8.0,20.4,2019,2-4 Appearances,Puzzle,Educational,
Down in Bermuda,8.0,8.25,2019,Single Appearance,Point-and-click,Comedy,
Mimir's Recruit,7.0,14.0,2021,Single Appearance,Puzzle,Action,
The Last Cube,8.0,27.75,2022,Single Appearance,Platform,Science fiction,
Prime Mover,8.0,8.19,1993,2-4 Appearances,Racing,Action,
Prime Mover,8.0,8.19,2018,2-4 Appearances,Puzzle,Science fiction,
Viviette,8.0,7.35,2018,DYA Games,Puzzle,Action,
Learning Factory,8.0,6.19,2021,2-4 Appearances,Simulator,Sandbox,
Paper Beast,9.0,20.79,2020,Single Appearance,Puzzle,Open world,
Toodee and Topdee,9.0,20.31,2021,Single Appearance,Platform,Action,
Bot Land,5.0,2.04,2019,Single Appearance,Strategy,Science fiction,
Remoteness,5.0,1.7,2022,2-4 Appearances,Shooter,Action,
Creepy Tale 3: Ingrid Penance,8.0,21.45,2023,Creepy Brothers,Point-and-click,Horror,
Sudocats,9.0,91.0,2022,2-4 Appearances,Puzzle,Educational,
Lab Craft Survival,6.0,2.89,2020,Single Appearance,Indie,Action,
Something Ate My Alien,8.0,7.43,2020,Single Appearance,Fighting,Action,
Trivia Vault: Auto Racing Trivia,5.0,1.0,2018,Ripknot Systems,Strategy,Action,
Fantastic Contraption Classic 1 & 2,8.0,26.5,2008,Northway Games,Point-and-click,Educational,
Outerverse,5.0,1.47,2022,2-4 Appearances,Simulator,Action,
Harmony's Odyssey,8.0,19.55,2022,2-4 Appearances,Puzzle,Action,
#AkiRobots,7.0,15.0,2020,Single Appearance,Platform,Kids,
Logic World,8.0,15.44,2021,Single Appearance,Simulator,Sandbox,
Cosmic Ball Tournament,7.0,12.0,2023,Single Appearance,Platform,Action,
Trivia Vault: Food Trivia,5.0,1.05,2018,Ripknot Systems,Simulator,Action,
Space Tail: Every Journey Leads Home,8.0,12.6,2022,Single Appearance,Music,Fantasy,
Beam,8.0,8.83,2020,2-4 Appearances,Platform,Action,
Beam,8.0,8.83,1989,2-4 Appearances,Puzzle,Action,
Petal Crash,8.0,42.0,2020,2-4 Appearances,Puzzle,Action,
Neon Depth,7.0,17.0,2021,Single Appearance,Platform,Action,
Trancelation,7.0,7.67,2019,2-4 Appearances,Music,Action,
Trivia Vault Basketball Trivia,5.0,1.12,2018,Ripknot Systems,Sport,Action,
How to Say Goodbye,7.0,23.5,2022,Single Appearance,Puzzle,Drama,
Rob Riches,8.0,30.0,2021,2-4 Appearances,Puzzle,Mystery,
Neon Warp,6.0,3.53,2016,Single Appearance,Indie,Action,
Hexa Turn,8.0,8.18,2017,Single Appearance,Puzzle,Kids,
Do you know de way,6.0,2.53,2018,Laush Dmitriy Sergeevich,Adventure,Kids,
Frontier Quest,7.0,4.5,2021,Single Appearance,Puzzle,Fantasy,
Obsolete,7.0,10.0,2020,Single Appearance,Platform,Action,
Project Chemistry,6.0,3.43,2020,Single Appearance,Simulator,Sandbox,
Trivia Tricks,8.0,11.36,2020,Single Appearance,Quiz/Trivia,Party,
Inferno,6.0,2.4,2010,2-4 Appearances,Simulator,Action,
Inferno,6.0,2.4,1991,2-4 Appearances,Arcade,Action,
Inferno,6.0,2.4,2010,Aldorlea Games,Simulator,Action,
Inferno,6.0,2.4,1991,Aldorlea Games,Arcade,Action,
CalmLine,7.0,5.0,0,Single Appearance,Indie,Action,
Trivia Vault: Tennis Trivia,5.0,1.09,2018,Ripknot Systems,Simulator,Action,
Trivia Vault: Soccer Trivia,5.0,0.94,2018,Ripknot Systems,Simulator,Action,
Trivia Vault: Hockey Trivia,5.0,1.16,2018,Ripknot Systems,Simulator,Action,
My Bunny Girl,6.0,2.9,2022,Hunny Bunny Studio,Indie,Erotic,
Overhaul,8.0,9.86,2022,Single Appearance,Puzzle,Action,
EscapeVR: The Basement,8.0,3.89,2016,Single Appearance,Puzzle,Non-fiction,
TitTok,8.0,7.92,2021,2-4 Appearances,Platform,Action,
Cartonfall,8.0,9.91,0,Single Appearance,Simulator,Action,
PixPhys,6.0,3.14,2021,Single Appearance,Simulator,Sandbox,
Vaccine,7.0,5.0,2017,2-4 Appearances,Shooter,Action,
Vaccine,7.0,5.0,2017,2-4 Appearances,Shooter,Action,
Vaccine,6.0,2.33,2017,2-4 Appearances,Shooter,Action,
Vaccine,6.0,2.33,2017,2-4 Appearances,Shooter,Action,
Operator,7.0,5.25,0,2-4 Appearances,Role-playing (RPG),Action,
Operator,7.0,5.25,0,2-4 Appearances,Role-playing (RPG),Action,
Operator,5.0,1.48,0,2-4 Appearances,Role-playing (RPG),Action,
Operator,5.0,1.48,0,2-4 Appearances,Role-playing (RPG),Action,
Faraday Protocol,8.0,12.0,2021,Single Appearance,Puzzle,Action,
Bakery Shop Simulator,5.0,2.08,2021,Single Appearance,Simulator,Business,
Labyrinth Escape,4.0,0.57,2017,Tero Lunkka,Indie,Action,
Let's Go Nuts!,7.0,7.75,2018,Single Appearance,Platform,Action,
Trivia Vault: Toy Trivia,5.0,0.84,2018,Ripknot Systems,Simulator,Action,
Trivia Vault: Celebrity Trivia,5.0,1.0,2018,Ripknot Systems,Simulator,Action,
Trivia Vault: Golf Trivia,5.0,1.06,2018,Ripknot Systems,Strategy,Action,
Beach Restaurant,5.0,0.79,2018,2-4 Appearances,Platform,Action,
Fluffy Cubed,8.0,15.0,2021,2-4 Appearances,Puzzle,Kids,
LogicBots,6.0,3.83,2017,Single Appearance,Puzzle,Sandbox,
The Line,7.0,9.0,2020,ARVORE Immersive Experiences,Simulator,Drama,
The Line,7.0,9.0,2020,K148 Game Studio,Simulator,Drama,
The Line,7.0,9.0,2020,PaulArt,Simulator,Drama,
The Line,7.0,9.0,2020,ARVORE Immersive Experiences,Simulator,Drama,
The Line,7.0,9.0,2020,K148 Game Studio,Simulator,Drama,
The Line,7.0,9.0,2020,PaulArt,Simulator,Drama,
The Line,7.0,9.0,2020,ARVORE Immersive Experiences,Simulator,Drama,
The Line,7.0,9.0,2020,K148 Game Studio,Simulator,Drama,
The Line,7.0,9.0,2020,PaulArt,Simulator,Drama,
The Line,5.0,1.82,2020,ARVORE Immersive Experiences,Simulator,Drama,
The Line,5.0,1.82,2020,K148 Game Studio,Simulator,Drama,
The Line,5.0,1.82,2020,PaulArt,Simulator,Drama,
The Line,5.0,1.82,2020,ARVORE Immersive Experiences,Simulator,Drama,
The Line,5.0,1.82,2020,K148 Game Studio,Simulator,Drama,
The Line,5.0,1.82,2020,PaulArt,Simulator,Drama,
The Line,5.0,1.82,2020,ARVORE Immersive Experiences,Simulator,Drama,
The Line,5.0,1.82,2020,K148 Game Studio,Simulator,Drama,
The Line,5.0,1.82,2020,PaulArt,Simulator,Drama,
Area 86,7.0,3.88,2020,Single Appearance,Platform,Action,
Paranormal Detective: Escape from the 80's,8.0,17.5,2019,Single Appearance,Simulator,Mystery,
LIT: Bend the Light,8.0,15.06,2020,Single Appearance,Puzzle,Educational,
Depixtion,8.0,13.0,2019,Single Appearance,Puzzle,Educational,
Chloe Puzzle Game,5.0,1.33,2022,Single Appearance,Puzzle,Action,
The Devil's Chosen,6.0,2.5,2022,Single Appearance,Role-playing (RPG),Action,
Midnight is Lost,7.0,4.0,2021,Single Appearance,Puzzle,Kids,
Catyph: The Kunci Experiment,6.0,2.57,2016,2-4 Appearances,Adventure,Action,
Trivia Vault: Literature Trivia,5.0,0.88,2018,Ripknot Systems,Simulator,Action,
Trivia Vault: Movie Trivia,5.0,1.21,2018,Ripknot Systems,Simulator,Action,
Trivia Vault: Art Trivia,5.0,0.94,2018,Ripknot Systems,Simulator,Action,
Trivia Vault: Fashion Trivia,5.0,0.83,2018,Ripknot Systems,Simulator,Action,
Semispheres,8.0,8.86,2017,Single Appearance,Puzzle,Action,
Time Master,8.0,21.67,2022,Single Appearance,Platform,Action,
Mirror Layers,8.0,29.0,2021,Single Appearance,Puzzle,Action,
Bitcoin Collector,5.0,1.35,2017,2-4 Appearances,Adventure,Action,
Sudoku Zenkai,8.0,8.95,2018,2-4 Appearances,Puzzle,Educational,
Killer: Infected One of Us,5.0,0.95,2021,Single Appearance,Adventure,Science fiction,
Cybernetica,3.0,0.1,2020,Single Appearance,Role-playing (RPG),Action,
Memorrha,5.0,1.85,2019,Single Appearance,Puzzle,Fantasy,
Trivia Vault: TV Trivia,5.0,0.97,2018,Ripknot Systems,Simulator,Action,
Trivia Vault: Mixed Trivia,5.0,0.9,2017,Ripknot Systems,Simulator,Action,
Alchemia,6.0,3.25,2018,Matthew Brown,Puzzle,Mystery,
Alchemia,6.0,3.25,2009,Matthew Brown,Point-and-click,Fantasy,
Magic Twins,7.0,39.0,2021,Single Appearance,Puzzle,Action,
Larcin Lazer,8.0,118.5,0,2-4 Appearances,Indie,Action,
The House of Da Vinci 3,8.0,9.32,2022,2-4 Appearances,Puzzle,Fantasy,
Timothy and the Mysterious Forest,6.0,2.2,2019,2-4 Appearances,Puzzle,Action,
Scale Enchanter,7.0,4.4,2021,2-4 Appearances,Point-and-click,Educational,
Ultra Hat Dimension,7.0,24.0,2020,2-4 Appearances,Puzzle,Comedy,
Seasons With Furry,5.0,1.88,2020,2-4 Appearances,Indie,Erotic,
Hourglass,8.0,18.38,2021,2-4 Appearances,Platform,Science fiction,
Undergrave,8.0,5.78,2022,2-4 Appearances,Platform,Action,
Sokolor,7.0,23.0,2022,Single Appearance,Puzzle,Kids,
Rising Mist,7.0,4.11,2022,2-4 Appearances,Puzzle,Fantasy,
Trivia Vault: Business Trivia,5.0,1.05,2018,Ripknot Systems,Simulator,Action,
The Last Shot,8.0,4.9,2023,Single Appearance,Platform,Science fiction,
Neko Maid,8.0,5.22,2022,Hunny Bunny Studio,Indie,Erotic,
Happy Puzzle,8.0,7.3,2021,2-4 Appearances,Indie,Erotic,
Dodge,6.0,3.22,2019,2-4 Appearances,Indie,Action,
Dodge,6.0,3.22,2019,2-4 Appearances,Indie,Action,
Dodge,6.0,3.22,2019,2-4 Appearances,Indie,Action,
Dodge,6.0,3.22,2019,2-4 Appearances,Indie,Action,
Dodge,5.0,2.07,2019,2-4 Appearances,Indie,Action,
Dodge,5.0,2.07,2019,2-4 Appearances,Indie,Action,
Dodge,5.0,2.07,2019,2-4 Appearances,Indie,Action,
Dodge,5.0,2.07,2019,2-4 Appearances,Indie,Action,
A Wake Inn,5.0,1.59,2021,Single Appearance,Adventure,Action,
Birth ME Code,8.0,4.53,2020,2-4 Appearances,Puzzle,Mystery,
A Fold Apart,8.0,4.61,2020,Single Appearance,Platform,Drama,
Lazy Chess,5.0,0.71,2021,2-4 Appearances,Puzzle,Educational,
Spectrum,8.0,4.33,2014,Single Appearance,Platform,Action,
Spectrum,8.0,4.33,2014,Single Appearance,Platform,Action,
Spectrum,8.0,4.33,2014,Single Appearance,Platform,Action,
Keep the Keep,7.0,21.0,2021,Single Appearance,Puzzle,Action,
Pizza Ghest,6.0,2.67,2022,Single Appearance,Simulator,Action,
Peppy's Adventure,8.0,8.67,2021,Single Appearance,Puzzle,Action,
Beware of Trains,6.0,3.67,2019,Single Appearance,Strategy,Action,
Mess Adventures 2,8.0,6.27,2022,Single Appearance,Strategy,Action,
Prelogate,8.0,8.8,2014,Single Appearance,Puzzle,Science fiction,
The House,4.0,0.56,2022,2-4 Appearances,Indie,Horror,
The House,4.0,0.56,2014,2-4 Appearances,Puzzle,Action,
The House,4.0,0.56,0,2-4 Appearances,Adventure,Action,
The House,4.0,0.56,2005,2-4 Appearances,Point-and-click,Horror,
The House,4.0,0.56,2022,Konsordo,Indie,Horror,
The House,4.0,0.56,2014,Konsordo,Puzzle,Action,
The House,4.0,0.56,0,Konsordo,Adventure,Action,
The House,4.0,0.56,2005,Konsordo,Point-and-click,Horror,
Qube Qross,7.0,3.25,2020,Single Appearance,Platform,Educational,
Machinist,5.0,1.55,2021,Single Appearance,Role-playing (RPG),Action,
GraviFire,7.0,9.0,2020,2-4 Appearances,Puzzle,Science fiction,
Educational Games for Kids,7.0,4.0,2020,2-4 Appearances,Music,Educational,
Time Hacker,7.0,3.71,2020,Single Appearance,Puzzle,Action,
A Rogue Escape,7.0,4.0,2021,Single Appearance,Puzzle,Science fiction,
Selfless Heroes,7.0,4.12,2020,Single Appearance,Puzzle,Educational,
Animal Wish,8.0,4.4,0,Single Appearance,Indie,Erotic,
Pillars of Light,7.0,19.0,2022,Single Appearance,Indie,Mystery,
Paranormal Observation,7.0,6.25,2022,2-4 Appearances,Simulator,Action,
Bomb Club Deluxe,7.0,28.0,2022,Single Appearance,Puzzle,Comedy,
Swim Out,7.0,4.57,2017,Single Appearance,Puzzle,Non-fiction,
Infinite Turtles,7.0,34.0,2022,Single Appearance,Puzzle,Sandbox,
Teodoro,7.0,18.0,2021,Single Appearance,Puzzle,Kids,
Raven's Hike,7.0,10.5,2021,2-4 Appearances,Platform,Action,
Hextones,8.0,10.17,2021,2-4 Appearances,Puzzle,Educational,
Tandis,8.0,38.67,2022,Single Appearance,Puzzle,Sandbox,
Prose & Codes,8.0,65.0,2022,Single Appearance,Puzzle,Historical,
Inside the Box,5.0,1.75,2020,2-4 Appearances,Indie,Educational,
Tantal,7.0,4.67,2020,Dnovel,Platform,Action,
3x64,7.0,9.5,2019,Single Appearance,Puzzle,Action,
Neon,7.0,15.5,2018,Dnovel,Indie,Action,
Neon,7.0,15.5,2018,Single Appearance,Indie,Action,
Alien X,5.0,1.45,2001,2-4 Appearances,Shooter,Action,
Crime Reaper,7.0,8.75,2021,Single Appearance,Puzzle,Mystery,
The Sekimeiya: Spun Glass,8.0,11.23,2021,Single Appearance,Adventure,Mystery,
Desirable,5.0,0.83,2020,Single Appearance,Puzzle,Erotic,
Reflex,8.0,5.86,2017,Single Appearance,Indie,Action,
Reflex,8.0,5.86,2017,Single Appearance,Indie,Action,
Reflex,8.0,5.86,2017,Easy game,Indie,Action,
Hidden Words,7.0,3.67,2021,2-4 Appearances,Puzzle,Party,
Sissa's Path,7.0,6.0,2022,2-4 Appearances,Puzzle,Kids,
Melodier,7.0,5.67,2022,2-4 Appearances,Music,Action,
Sharing Lights,7.0,8.5,2022,2-4 Appearances,Puzzle,Action,
Sharing Lights,7.0,8.5,2022,2-4 Appearances,Puzzle,Fantasy,
Delivery in Space,7.0,9.5,2022,Single Appearance,Puzzle,Science fiction,
The young mathematician: Easy difficulty,6.0,3.38,2018,Laush Dmitriy Sergeevich,Indie,Educational,
Fluffy Milo,7.0,36.0,2022,2-4 Appearances,Puzzle,Kids,
Trivia Vault: Video Game Trivia Deluxe,5.0,0.89,2017,Ripknot Systems,Simulator,Action,
Project Astra Dominium,7.0,21.5,0,Single Appearance,Simulator,Science fiction,
Couch Monsters,7.0,43.0,2021,Single Appearance,Puzzle,Action,
Arcane Golf,7.0,22.5,2018,Single Appearance,Puzzle,Fantasy,
Tiny Bubbles,8.0,12.0,2017,Single Appearance,Puzzle,Action,
Bots Are Stupid,8.0,5.42,2022,Single Appearance,Platform,Educational,
I Fetch Rocks,8.0,22.67,2022,Single Appearance,Simulator,Science fiction,
Nemezis: Mysterious Journey III,5.0,1.63,2021,2-4 Appearances,Point-and-click,Action,
Cupid Nonogram,8.0,11.43,2021,Single Appearance,Puzzle,Fantasy,
Twinsen's Little Big Adventure 2 Classic,9.0,39.28,1997,2-4 Appearances,Platform,Action,
Alphadeck,5.0,0.73,2021,2-4 Appearances,Sport,Action,
Rinlo,7.0,3.57,2020,2-4 Appearances,Puzzle,Action,
PyroMind,7.0,27.0,2019,Single Appearance,Strategy,Action,
An Interesting Journey of Monsieur PAF,7.0,6.75,2020,Single Appearance,Platform,Comedy,
Now you can't see me,7.0,4.14,2021,Single Appearance,Shooter,Action,
Infini,7.0,15.0,2020,Single Appearance,Platform,Action,
One Line Coloring,7.0,6.6,2020,2-4 Appearances,Puzzle,Educational,
Adventure Llama,7.0,37.0,2018,2-4 Appearances,Platform,Action,
Unit 404,7.0,7.8,2020,Single Appearance,Platform,Science fiction,
BlackJack Math,8.0,6.64,2020,Single Appearance,Fighting,Educational,
Mad Experiments: Escape Room,6.0,2.34,2020,Single Appearance,Puzzle,Party,
Furry Woof and Nya,8.0,4.89,2020,Single Appearance,Indie,Erotic,
Girls Memory Card,5.0,1.5,2020,Laush Dmitriy Sergeevich,Indie,Erotic,
Kiss Effect,7.0,3.2,2023,2-4 Appearances,Indie,Erotic,
No Time For Caution,7.0,4.5,2022,Single Appearance,Platform,Action,
Decent Checkers,6.0,2.5,2023,Single Appearance,Puzzle,Educational,
Photon Engineer,7.0,10.0,0,Single Appearance,Puzzle,Science fiction,
