game,reviewer_rating,positivity_ratio,first_release_date,game_modes,genres,themes,developer_Scott Cawthon,developer_Tero Lunkka,binned_developer_encoded
Cubixx HD,7.0,7.75,2011,1,9,1,0,0,3
The Devil's Calculator,8.0,20.4,2019,1,9,34,0,0,3
Down in Bermuda,8.0,8.25,2019,1,2,27,0,0,341
Mimir's Recruit,7.0,14.0,2021,1,9,1,0,0,341
The Last Cube,8.0,27.75,2022,1,8,18,0,0,341
Prime Mover,8.0,8.19,1993,1,10,1,0,0,3
Prime Mover,8.0,8.19,2018,1,9,18,0,0,3
Viviette,8.0,7.35,2018,1,9,1,0,0,89
Learning Factory,8.0,6.19,2021,1,13,33,0,0,3
Paper Beast,9.0,20.79,2020,1,9,38,0,0,341
Toodee and Topdee,9.0,20.31,2021,1,8,1,0,0,341
Bot Land,5.0,2.04,2019,2,15,18,0,0,341
Remoteness,5.0,1.7,2022,1,5,1,0,0,3
Creepy Tale 3: Ingrid Penance,8.0,21.45,2023,1,2,19,0,0,77
Sudocats,9.0,91.0,2022,1,9,34,0,0,3
Lab Craft Survival,6.0,2.89,2020,1,32,1,0,0,341
Something Ate My Alien,8.0,7.43,2020,1,4,1,0,0,341
Trivia Vault: Auto Racing Trivia,5.0,1.0,2018,1,15,1,0,0,312
Fantastic Contraption Classic 1 & 2,8.0,26.5,2008,1,2,34,0,0,265
Outerverse,5.0,1.47,2022,1,13,1,0,0,3
Harmony's Odyssey,8.0,19.55,2022,1,9,1,0,0,3
#AkiRobots,7.0,15.0,2020,1,8,35,0,0,341
Logic World,8.0,15.44,2021,1,13,33,0,0,341
Cosmic Ball Tournament,7.0,12.0,2023,1,8,1,0,0,341
Trivia Vault: Food Trivia,5.0,1.05,2018,1,13,1,0,0,312
Space Tail: Every Journey Leads Home,8.0,12.6,2022,1,7,17,0,0,341
Beam,8.0,8.83,2020,1,8,1,0,0,3
Beam,8.0,8.83,1989,1,9,1,0,0,3
Petal Crash,8.0,42.0,2020,1,9,1,0,0,3
Neon Depth,7.0,17.0,2021,1,8,1,0,0,341
Trancelation,7.0,7.67,2019,1,7,1,0,0,3
Trivia Vault Basketball Trivia,5.0,1.12,2018,1,14,1,0,0,312
How to Say Goodbye,7.0,23.5,2022,1,9,31,0,0,341
Rob Riches,8.0,30.0,2021,1,9,43,0,0,3
Neon Warp,6.0,3.53,2016,1,32,1,0,0,341
Hexa Turn,8.0,8.18,2017,1,9,35,0,0,341
Do you know de way,6.0,2.53,2018,1,31,35,0,0,207
Frontier Quest,7.0,4.5,2021,1,9,17,0,0,341
Obsolete,7.0,10.0,2020,1,8,1,0,0,341
Project Chemistry,6.0,3.43,2020,1,13,33,0,0,341
Trivia Tricks,8.0,11.36,2020,1,26,40,0,0,341
Inferno,6.0,2.4,2010,1,13,1,0,0,3
Inferno,6.0,2.4,1991,1,33,1,0,0,3
Inferno,6.0,2.4,2010,1,13,1,0,0,16
Inferno,6.0,2.4,1991,1,33,1,0,0,16
CalmLine,7.0,5.0,0,1,32,1,0,0,341
Trivia Vault: Tennis Trivia,5.0,1.09,2018,1,13,1,0,0,312
Trivia Vault: Soccer Trivia,5.0,0.94,2018,1,13,1,0,0,312
Trivia Vault: Hockey Trivia,5.0,1.16,2018,1,13,1,0,0,312
My Bunny Girl,6.0,2.9,2022,1,32,42,0,0,173
Overhaul,8.0,9.86,2022,1,9,1,0,0,341
EscapeVR: The Basement,8.0,3.89,2016,1,9,32,0,0,341
TitTok,8.0,7.92,2021,1,8,1,0,0,3
Cartonfall,8.0,9.91,0,1,13,1,0,0,341
PixPhys,6.0,3.14,2021,1,13,33,0,0,341
Vaccine,7.0,5.0,2017,1,5,1,0,0,3
Vaccine,7.0,5.0,2017,1,5,1,0,0,3
Vaccine,6.0,2.33,2017,1,5,1,0,0,3
Vaccine,6.0,2.33,2017,1,5,1,0,0,3
Operator,7.0,5.25,0,1,12,1,0,0,3
Operator,7.0,5.25,0,1,12,1,0,0,3
Operator,5.0,1.48,0,1,12,1,0,0,3
Operator,5.0,1.48,0,1,12,1,0,0,3
Faraday Protocol,8.0,12.0,2021,1,9,1,0,0,341
Bakery Shop Simulator,5.0,2.08,2021,1,13,28,0,0,341
Labyrinth Escape,4.0,0.57,2017,1,32,1,0,1,378
Let's Go Nuts!,7.0,7.75,2018,1,8,1,0,0,341
Trivia Vault: Toy Trivia,5.0,0.84,2018,1,13,1,0,0,312
Trivia Vault: Celebrity Trivia,5.0,1.0,2018,1,13,1,0,0,312
Trivia Vault: Golf Trivia,5.0,1.06,2018,1,15,1,0,0,312
Beach Restaurant,5.0,0.79,2018,1,8,1,0,0,3
Fluffy Cubed,8.0,15.0,2021,1,9,35,0,0,3
LogicBots,6.0,3.83,2017,1,9,33,0,0,341
The Line,7.0,9.0,2020,1,13,31,0,0,9
The Line,7.0,9.0,2020,1,13,31,0,0,191
The Line,7.0,9.0,2020,1,13,31,0,0,283
The Line,7.0,9.0,2020,1,13,31,0,0,9
The Line,7.0,9.0,2020,1,13,31,0,0,191
The Line,7.0,9.0,2020,1,13,31,0,0,283
The Line,7.0,9.0,2020,1,13,31,0,0,9
The Line,7.0,9.0,2020,1,13,31,0,0,191
The Line,7.0,9.0,2020,1,13,31,0,0,283
The Line,5.0,1.82,2020,1,13,31,0,0,9
The Line,5.0,1.82,2020,1,13,31,0,0,191
The Line,5.0,1.82,2020,1,13,31,0,0,283
The Line,5.0,1.82,2020,1,13,31,0,0,9
The Line,5.0,1.82,2020,1,13,31,0,0,191
The Line,5.0,1.82,2020,1,13,31,0,0,283
The Line,5.0,1.82,2020,1,13,31,0,0,9
The Line,5.0,1.82,2020,1,13,31,0,0,191
The Line,5.0,1.82,2020,1,13,31,0,0,283
Area 86,7.0,3.88,2020,1,8,1,0,0,341
Paranormal Detective: Escape from the 80's,8.0,17.5,2019,1,13,43,0,0,341
LIT: Bend the Light,8.0,15.06,2020,1,9,34,0,0,341
Depixtion,8.0,13.0,2019,1,9,34,0,0,341
Chloe Puzzle Game,5.0,1.33,2022,1,9,1,0,0,341
The Devil's Chosen,6.0,2.5,2022,1,12,1,0,0,341
Midnight is Lost,7.0,4.0,2021,1,9,35,0,0,341
Catyph: The Kunci Experiment,6.0,2.57,2016,1,31,1,0,0,3
Trivia Vault: Literature Trivia,5.0,0.88,2018,1,13,1,0,0,312
Trivia Vault: Movie Trivia,5.0,1.21,2018,1,13,1,0,0,312
Trivia Vault: Art Trivia,5.0,0.94,2018,1,13,1,0,0,312
Trivia Vault: Fashion Trivia,5.0,0.83,2018,1,13,1,0,0,312
Semispheres,8.0,8.86,2017,1,9,1,0,0,341
Time Master,8.0,21.67,2022,1,8,1,0,0,341
Mirror Layers,8.0,29.0,2021,1,9,1,0,0,341
Bitcoin Collector,5.0,1.35,2017,1,31,1,0,0,3
Sudoku Zenkai,8.0,8.95,2018,1,9,34,0,0,3
Killer: Infected One of Us,5.0,0.95,2021,2,31,18,0,0,341
Cybernetica,3.0,0.1,2020,1,12,1,0,0,341
Memorrha,5.0,1.85,2019,1,9,17,0,0,341
Trivia Vault: TV Trivia,5.0,0.97,2018,1,13,1,0,0,312
Trivia Vault: Mixed Trivia,5.0,0.9,2017,1,13,1,0,0,312
Alchemia,6.0,3.25,2018,1,9,43,0,0,225
Alchemia,6.0,3.25,2009,1,2,17,0,0,225
Magic Twins,7.0,39.0,2021,1,9,1,0,0,341
Larcin Lazer,8.0,118.5,0,1,32,1,0,0,3
The House of Da Vinci 3,8.0,9.32,2022,1,9,17,0,0,3
Timothy and the Mysterious Forest,6.0,2.2,2019,1,9,1,0,0,3
Scale Enchanter,7.0,4.4,2021,1,2,34,0,0,3
Ultra Hat Dimension,7.0,24.0,2020,1,9,27,0,0,3
Seasons With Furry,5.0,1.88,2020,1,32,42,0,0,3
Hourglass,8.0,18.38,2021,1,8,18,0,0,3
Undergrave,8.0,5.78,2022,1,8,1,0,0,3
Sokolor,7.0,23.0,2022,1,9,35,0,0,341
Rising Mist,7.0,4.11,2022,1,9,17,0,0,3
Trivia Vault: Business Trivia,5.0,1.05,2018,1,13,1,0,0,312
The Last Shot,8.0,4.9,2023,1,8,18,0,0,341
Neko Maid,8.0,5.22,2022,1,32,42,0,0,173
Happy Puzzle,8.0,7.3,2021,1,32,42,0,0,3
Dodge,6.0,3.22,2019,1,32,1,0,0,3
Dodge,6.0,3.22,2019,1,32,1,0,0,3
Dodge,6.0,3.22,2019,1,32,1,0,0,3
Dodge,6.0,3.22,2019,1,32,1,0,0,3
Dodge,5.0,2.07,2019,1,32,1,0,0,3
Dodge,5.0,2.07,2019,1,32,1,0,0,3
Dodge,5.0,2.07,2019,1,32,1,0,0,3
Dodge,5.0,2.07,2019,1,32,1,0,0,3
A Wake Inn,5.0,1.59,2021,1,31,1,0,0,341
Birth ME Code,8.0,4.53,2020,1,9,43,0,0,3
A Fold Apart,8.0,4.61,2020,1,8,31,0,0,341
Lazy Chess,5.0,0.71,2021,1,9,34,0,0,3
Spectrum,8.0,4.33,2014,1,8,1,0,0,341
Spectrum,8.0,4.33,2014,1,8,1,0,0,341
Spectrum,8.0,4.33,2014,1,8,1,0,0,341
Keep the Keep,7.0,21.0,2021,1,9,1,0,0,341
Pizza Ghest,6.0,2.67,2022,1,13,1,0,0,341
Peppy's Adventure,8.0,8.67,2021,1,9,1,0,0,341
Beware of Trains,6.0,3.67,2019,1,15,1,0,0,341
Mess Adventures 2,8.0,6.27,2022,1,15,1,0,0,341
Prelogate,8.0,8.8,2014,1,9,18,0,0,341
The House,4.0,0.56,2022,1,32,19,0,0,3
The House,4.0,0.56,2014,1,9,1,0,0,3
The House,4.0,0.56,0,1,31,1,0,0,3
The House,4.0,0.56,2005,1,2,19,0,0,3
The House,4.0,0.56,2022,1,32,19,0,0,203
The House,4.0,0.56,2014,1,9,1,0,0,203
The House,4.0,0.56,0,1,31,1,0,0,203
The House,4.0,0.56,2005,1,2,19,0,0,203
Qube Qross,7.0,3.25,2020,1,8,34,0,0,341
Machinist,5.0,1.55,2021,1,12,1,0,0,341
GraviFire,7.0,9.0,2020,1,9,18,0,0,3
Educational Games for Kids,7.0,4.0,2020,1,7,34,0,0,3
Time Hacker,7.0,3.71,2020,1,9,1,0,0,341
A Rogue Escape,7.0,4.0,2021,1,9,18,0,0,341
Selfless Heroes,7.0,4.12,2020,1,9,34,0,0,341
Animal Wish,8.0,4.4,0,1,32,42,0,0,341
Pillars of Light,7.0,19.0,2022,1,32,43,0,0,341
Paranormal Observation,7.0,6.25,2022,1,13,1,0,0,3
Bomb Club Deluxe,7.0,28.0,2022,1,9,27,0,0,341
Swim Out,7.0,4.57,2017,1,9,32,0,0,341
Infinite Turtles,7.0,34.0,2022,1,9,33,0,0,341
Teodoro,7.0,18.0,2021,1,9,35,0,0,341
Raven's Hike,7.0,10.5,2021,1,8,1,0,0,3
Hextones,8.0,10.17,2021,1,9,34,0,0,3
Tandis,8.0,38.67,2022,1,9,33,0,0,341
Prose & Codes,8.0,65.0,2022,1,9,22,0,0,341
Inside the Box,5.0,1.75,2020,1,32,34,0,0,3
Tantal,7.0,4.67,2020,1,8,1,0,0,103
3x64,7.0,9.5,2019,1,9,1,0,0,341
Neon,7.0,15.5,2018,1,32,1,0,0,103
Neon,7.0,15.5,2018,1,32,1,0,0,341
Alien X,5.0,1.45,2001,1,5,1,0,0,3
Crime Reaper,7.0,8.75,2021,1,9,43,0,0,341
The Sekimeiya: Spun Glass,8.0,11.23,2021,1,31,43,0,0,341
Desirable,5.0,0.83,2020,1,9,42,0,0,341
Reflex,8.0,5.86,2017,1,32,1,0,0,341
Reflex,8.0,5.86,2017,1,32,1,0,0,341
Reflex,8.0,5.86,2017,1,32,1,0,0,110
Hidden Words,7.0,3.67,2021,1,9,40,0,0,3
Sissa's Path,7.0,6.0,2022,1,9,35,0,0,3
Melodier,7.0,5.67,2022,1,7,1,0,0,3
Sharing Lights,7.0,8.5,2022,1,9,1,0,0,3
Sharing Lights,7.0,8.5,2022,1,9,17,0,0,3
Delivery in Space,7.0,9.5,2022,1,9,18,0,0,341
The young mathematician: Easy difficulty,6.0,3.38,2018,1,32,34,0,0,207
Fluffy Milo,7.0,36.0,2022,1,9,35,0,0,3
Trivia Vault: Video Game Trivia Deluxe,5.0,0.89,2017,1,13,1,0,0,312
Project Astra Dominium,7.0,21.5,0,1,13,18,0,0,341
Couch Monsters,7.0,43.0,2021,1,9,1,0,0,341
Arcane Golf,7.0,22.5,2018,1,9,17,0,0,341
Tiny Bubbles,8.0,12.0,2017,1,9,1,0,0,341
Bots Are Stupid,8.0,5.42,2022,1,8,34,0,0,341
I Fetch Rocks,8.0,22.67,2022,1,13,18,0,0,341
Nemezis: Mysterious Journey III,5.0,1.63,2021,1,2,1,0,0,3
Cupid Nonogram,8.0,11.43,2021,1,9,17,0,0,341
Twinsen's Little Big Adventure 2 Classic,9.0,39.28,1997,1,8,1,0,0,3
Alphadeck,5.0,0.73,2021,1,14,1,0,0,3
Rinlo,7.0,3.57,2020,1,9,1,0,0,3
PyroMind,7.0,27.0,2019,1,15,1,0,0,341
An Interesting Journey of Monsieur PAF,7.0,6.75,2020,1,8,27,0,0,341
Now you can't see me,7.0,4.14,2021,1,5,1,0,0,341
Infini,7.0,15.0,2020,1,8,1,0,0,341
One Line Coloring,7.0,6.6,2020,1,9,34,0,0,3
Adventure Llama,7.0,37.0,2018,1,8,1,0,0,3
Unit 404,7.0,7.8,2020,1,8,18,0,0,341
BlackJack Math,8.0,6.64,2020,1,4,34,0,0,341
Mad Experiments: Escape Room,6.0,2.34,2020,1,9,40,0,0,341
Furry Woof and Nya,8.0,4.89,2020,1,32,42,0,0,341
Girls Memory Card,5.0,1.5,2020,1,32,42,0,0,207
Kiss Effect,7.0,3.2,2023,1,32,42,0,0,3
No Time For Caution,7.0,4.5,2022,1,8,1,0,0,341
Decent Checkers,6.0,2.5,2023,1,9,34,0,0,341
Photon Engineer,7.0,10.0,0,1,9,18,0,0,341
Trivia Vault: Music Trivia,5.0,0.71,2018,1,13,1,0,0,312
Puzzle & Chess,5.0,1.09,2021,1,9,34,0,0,3
Bricky to Me,7.0,13.0,2021,1,8,1,0,0,3
Super Ninja Miner,7.0,13.0,2022,1,8,1,0,0,341
Do U Copy?,7.0,3.2,2021,2,9,40,0,0,341
Molecats,7.0,3.4,2017,1,9,27,0,0,3
Slime Escape,7.0,6.33,2021,1,9,43,0,0,3
Cyclone,7.0,5.75,1985,1,15,1,0,0,341
Rayland 2,7.0,12.0,2023,1,9,35,0,0,3
Repit,7.0,4.57,2021,1,8,1,0,0,341
ReThink 2,7.0,37.0,2018,1,9,1,0,0,3
Sneaky Rat,7.0,37.0,2022,1,9,1,0,0,341
ReThink | Evolved 2,7.0,40.0,2018,1,15,1,0,0,3
Playable Mockup,8.0,8.5,0,1,15,19,0,0,341
Clinically Dead,8.0,4.46,2018,1,31,1,0,0,341
Orgynizer,8.0,11.6,2020,1,9,40,0,0,341
Nucleares,8.0,9.71,0,1,5,1,0,0,341
Para Eyes,8.0,39.0,2022,1,32,19,0,0,341
Lingo,8.0,42.0,2021,1,9,38,0,0,341
Rogue Bit,8.0,10.22,2018,1,9,34,0,0,3
Active Neurons 2,7.0,7.0,2020,1,7,34,0,0,341
Assimilate! (A Party Game),7.0,4.67,2021,2,32,40,0,0,341
Reach the Summit,5.0,1.38,2021,1,8,1,0,0,341
Leaf Tree,7.0,9.5,2021,1,9,17,0,0,341
Terraforming Earth,7.0,24.0,2020,1,31,1,0,0,341
World of Aircraft: Glider Simulator,5.0,1.08,2021,1,13,32,0,0,341
The Pillar,5.0,1.67,2020,1,31,1,0,0,3
Syzygy,7.0,30.0,2016,1,32,31,0,0,341
The Long Gate,7.0,4.86,2020,1,9,34,0,0,341
Nullum,7.0,11.67,2020,1,9,34,0,0,341
Cubism,7.0,41.0,2020,1,9,34,0,0,341
In My Shadow,8.0,5.2,2021,1,8,31,0,0,341
Alchemist Simulator,6.0,3.08,2020,1,9,35,0,0,3
Repressed,6.0,2.33,2018,1,8,1,0,0,341
Impulsow,7.0,17.0,2018,1,32,1,0,0,186
Feud,8.0,8.7,1987,1,12,1,0,0,341
Beauty from Wisdom,3.0,0.09,2022,1,15,42,0,0,341
Neko-chan's Club,6.0,2.5,2023,1,32,42,0,0,173
Fear of the Dark,5.0,1.6,2022,1,31,1,0,0,3
Fear of the Dark,5.0,1.6,2020,1,31,1,0,0,3
Haunting Hour,5.0,1.5,2019,1,9,19,0,0,341
100 Doors: Escape from Work,5.0,1.8,2022,1,2,43,0,0,3
Collapsed,7.0,4.5,2019,1,5,1,0,0,341
Roxy Raccoon 2: Topsy-Turvy,7.0,10.0,2023,1,13,1,0,0,3
Apple Hopper,5.0,1.57,2021,1,14,1,0,0,341
Soul Knight: The Forest of Spirits,7.0,6.0,2023,1,8,1,0,0,344
Palladium: Adventure in Greece,7.0,13.0,2021,1,9,22,0,0,3
Halt,7.0,3.25,0,1,5,1,0,0,341
Frogurai,7.0,13.0,2023,1,8,1,0,0,254
Chess Morph: The Queen's Wormholes,7.0,13.0,2023,1,9,1,0,0,341
Small Town Detective,7.0,4.33,2023,1,32,1,0,0,341
My Neighbor Neko,5.0,1.56,2023,1,32,42,0,0,173
God is a Cube: Programming Robot Cubes,6.0,2.14,2018,1,9,18,0,0,341
Where's Samantha?,6.0,2.5,2021,1,8,35,0,0,341
Spinning Maze,7.0,15.0,2022,1,9,33,0,0,344
Spinning Maze,7.0,15.0,2022,1,9,33,0,0,3
Spinning Maze,7.0,4.67,2022,1,9,33,0,0,344
Spinning Maze,7.0,4.67,2022,1,9,33,0,0,3
Square Keeper,7.0,7.5,2022,1,9,1,0,0,341
Life is Pain,7.0,8.0,2023,1,31,1,0,0,332
A Collection of Bad Moments,5.0,1.45,2018,1,31,1,0,0,3
Kit's Quest,7.0,16.0,2023,1,8,1,0,0,341
Crime Passional,5.0,2.0,2023,1,13,1,0,0,3
Sudokolorful,7.0,4.75,2021,1,9,1,0,0,341
Beep's Escape,7.0,19.0,2023,1,31,1,0,0,341
Hope,7.0,20.0,2023,1,8,34,0,0,3
Hope,7.0,20.0,2020,1,32,31,0,0,3
Hope,7.0,20.0,2010,1,2,18,0,0,3
Hope,7.0,20.0,2023,1,8,34,0,0,3
Hope,7.0,20.0,2020,1,32,31,0,0,3
Hope,7.0,20.0,2010,1,2,18,0,0,3
Harlow,7.0,4.4,0,1,8,1,0,0,341
Dark Crypt,7.0,23.0,2021,1,9,19,0,0,3
Puzzle Park,6.0,3.0,2022,1,9,38,0,0,3
Fairy Girl,7.0,4.17,2022,1,9,42,0,0,3
Candle Prick,7.0,26.0,2022,1,9,1,0,0,341
Kredolis,5.0,1.08,2022,1,9,17,0,0,341
